Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-35,3.1214586294272655,,,End-of-Day-Close-Price-Week-Ago-35,90.1200,Stock-Previous-Quarter-35,116.6400,Peer-1-Previous-Quarter-35,79.6200,Peer-2-Previous-Quarter-35,226.9000,Peer-3-Previous-Quarter-35,44.6200,Peer-4-Previous-Quarter-58,72.0800
Stock-Beta-Week-36,2.226673466925742,,,End-of-Day-Close-Price-Week-Ago-36,84.2300,Stock-Previous-Quarter-36,116.8000,Peer-1-Previous-Quarter-36,80.6500,Peer-2-Previous-Quarter-36,228.8000,Peer-3-Previous-Quarter-36,44.4500,Peer-4-Previous-Quarter-57,72.7700
Stock-Beta-Week-37,1.6572465001425967,,,End-of-Day-Close-Price-Week-Ago-37,81.2600,Stock-Previous-Quarter-37,116.7800,Peer-1-Previous-Quarter-37,80.7200,Peer-2-Previous-Quarter-37,229.9900,Peer-3-Previous-Quarter-37,45.0600,Peer-4-Previous-Quarter-56,68.1100
Stock-Beta-Week-38,1.578615753975781,,,End-of-Day-Close-Price-Week-Ago-38,83.2400,Stock-Previous-Quarter-38,115.1800,Peer-1-Previous-Quarter-38,80.5600,Peer-2-Previous-Quarter-38,227.6800,Peer-3-Previous-Quarter-38,44.8200,Peer-4-Previous-Quarter-55,67.1900
Stock-Beta-Week-39,1.5560967802298769,,,End-of-Day-Close-Price-Week-Ago-39,77.9800,Stock-Previous-Quarter-39,115.0200,Peer-1-Previous-Quarter-39,80.2500,Peer-2-Previous-Quarter-39,223.4700,Peer-3-Previous-Quarter-39,44.6000,Peer-4-Previous-Quarter-54,64.7500
Stock-Beta-Week-40,1.5334453601174685,,,End-of-Day-Close-Price-Week-Ago-40,75.4600,Stock-Previous-Quarter-40,114.4900,Peer-1-Previous-Quarter-40,80.7600,Peer-2-Previous-Quarter-40,221.9600,Peer-3-Previous-Quarter-40,45.3000,Peer-4-Previous-Quarter-53,65.9600
Stock-Beta-Week-41,1.7817506685846725,,,End-of-Day-Close-Price-Week-Ago-41,71.3800,Stock-Previous-Quarter-41,114.4900,Peer-1-Previous-Quarter-41,80.3100,Peer-2-Previous-Quarter-41,223.2100,Peer-3-Previous-Quarter-41,46.0700,Peer-4-Previous-Quarter-52,67.1600
Stock-Beta-Week-42,1.5634631986014942,,,End-of-Day-Close-Price-Week-Ago-42,77.5300,Stock-Previous-Quarter-42,115.7100,Peer-1-Previous-Quarter-42,79.8600,Peer-2-Previous-Quarter-42,227.7000,Peer-3-Previous-Quarter-42,45.6100,Peer-4-Previous-Quarter-51,67.2700
Stock-Beta-Week-43,1.6259590635022063,,,End-of-Day-Close-Price-Week-Ago-43,74.7600,Stock-Previous-Quarter-43,115.3200,Peer-1-Previous-Quarter-43,80.1500,Peer-2-Previous-Quarter-43,230.5000,Peer-3-Previous-Quarter-43,46.3900,Peer-4-Previous-Quarter-50,67.8800
Stock-Beta-Week-44,1.610190272676102,,,End-of-Day-Close-Price-Week-Ago-44,77.2000,Stock-Previous-Quarter-44,116.0900,Peer-1-Previous-Quarter-44,80.5200,Peer-2-Previous-Quarter-44,230.2600,Peer-3-Previous-Quarter-44,46.5400,Peer-4-Previous-Quarter-49,67.1000
