Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-42,1.4085455743533433,,,End-of-Day-Close-Price-Week-Ago-42,39.5700,Stock-Previous-Quarter-42,39.6700,Peer-1-Previous-Quarter-42,40.5500,Peer-2-Previous-Quarter-42,402.6100,Peer-3-Previous-Quarter-42,19.2500,Peer-4-Previous-Quarter-51,148.0700
Stock-Beta-Week-43,1.442090667016993,,,End-of-Day-Close-Price-Week-Ago-43,38.7100,Stock-Previous-Quarter-43,39.5100,Peer-1-Previous-Quarter-43,41.2800,Peer-2-Previous-Quarter-43,404.5900,Peer-3-Previous-Quarter-43,19.5800,Peer-4-Previous-Quarter-50,148.6900
Stock-Beta-Week-44,1.4553076121448774,,,End-of-Day-Close-Price-Week-Ago-44,41.6300,Stock-Previous-Quarter-44,39.9700,Peer-1-Previous-Quarter-44,41.5100,Peer-2-Previous-Quarter-44,406.3000,Peer-3-Previous-Quarter-44,19.8300,Peer-4-Previous-Quarter-49,146.7300
Stock-Beta-Week-45,1.4603457582538377,,,End-of-Day-Close-Price-Week-Ago-45,42.9300,Stock-Previous-Quarter-45,41.1100,Peer-1-Previous-Quarter-45,41.8300,Peer-2-Previous-Quarter-45,412.2500,Peer-3-Previous-Quarter-45,20.2800,Peer-4-Previous-Quarter-48,146.9800
Stock-Beta-Week-46,1.2202421900356242,,,End-of-Day-Close-Price-Week-Ago-46,44.1600,Stock-Previous-Quarter-46,39.9700,Peer-1-Previous-Quarter-46,41.6900,Peer-2-Previous-Quarter-46,398.6800,Peer-3-Previous-Quarter-46,20.1800,Peer-4-Previous-Quarter-47,149.3100
Stock-Beta-Week-47,1.2009815390863134,,,End-of-Day-Close-Price-Week-Ago-47,42.0100,Stock-Previous-Quarter-47,39.3500,Peer-1-Previous-Quarter-47,41.5700,Peer-2-Previous-Quarter-47,384.3100,Peer-3-Previous-Quarter-47,20.3700,Peer-4-Previous-Quarter-46,150.9700
Stock-Beta-Week-48,1.1988635681999533,,,End-of-Day-Close-Price-Week-Ago-48,41.4800,Stock-Previous-Quarter-48,39.2400,Peer-1-Previous-Quarter-48,41.0500,Peer-2-Previous-Quarter-48,390.9400,Peer-3-Previous-Quarter-48,20.1600,Peer-4-Previous-Quarter-45,146.9500
Stock-Beta-Week-49,1.1007363458223,,,End-of-Day-Close-Price-Week-Ago-49,40.0000,Stock-Previous-Quarter-49,39.6000,Peer-1-Previous-Quarter-49,40.6400,Peer-2-Previous-Quarter-49,394.4100,Peer-3-Previous-Quarter-49,19.9500,Peer-4-Previous-Quarter-44,145.1900
Stock-Beta-Week-50,1.0969574653232685,,,End-of-Day-Close-Price-Week-Ago-50,39.7600,Stock-Previous-Quarter-50,40.4100,Peer-1-Previous-Quarter-50,40.2700,Peer-2-Previous-Quarter-50,410.3900,Peer-3-Previous-Quarter-50,20.0000,Peer-4-Previous-Quarter-43,141.9700
Stock-Beta-Week-51,1.1709476950808733,,,End-of-Day-Close-Price-Week-Ago-51,45.3800,Stock-Previous-Quarter-51,40.1000,Peer-1-Previous-Quarter-51,40.3300,Peer-2-Previous-Quarter-51,403.7600,Peer-3-Previous-Quarter-51,20.4200,Peer-4-Previous-Quarter-42,142.9900
