Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
,,,,,,Stock-Previous-Quarter-54,92.1700,Peer-1-Previous-Quarter-54,67.1200,Peer-2-Previous-Quarter-54,101.8200,Peer-3-Previous-Quarter-54,62.4200,Peer-4-Previous-Quarter-39,92.3600
,,,,,,Stock-Previous-Quarter-55,91.6300,Peer-1-Previous-Quarter-55,66.4500,Peer-2-Previous-Quarter-55,101.9700,Peer-3-Previous-Quarter-55,62.0100,Peer-4-Previous-Quarter-38,92.8000
,,,,,,Stock-Previous-Quarter-56,92.4500,Peer-1-Previous-Quarter-56,67.7200,Peer-2-Previous-Quarter-56,102.2500,Peer-3-Previous-Quarter-56,61.8100,Peer-4-Previous-Quarter-37,91.1000
,,,,,,Stock-Previous-Quarter-57,94.8600,Peer-1-Previous-Quarter-57,70.0500,Peer-2-Previous-Quarter-57,104.2200,Peer-3-Previous-Quarter-57,62.5200,Peer-4-Previous-Quarter-36,91.2000
,,,,,,Stock-Previous-Quarter-58,94.8400,Peer-1-Previous-Quarter-58,70.3200,Peer-2-Previous-Quarter-58,104.9800,Peer-3-Previous-Quarter-58,62.9200,Peer-4-Previous-Quarter-35,91.6600
,,,,,,Stock-Previous-Quarter-59,96.4100,Peer-1-Previous-Quarter-59,70.3400,Peer-2-Previous-Quarter-59,105.0800,Peer-3-Previous-Quarter-59,62.9100,Peer-4-Previous-Quarter-34,93.2500
,,,,,,Stock-Previous-Quarter-60,97.6300,Peer-1-Previous-Quarter-60,71.5600,Peer-2-Previous-Quarter-60,105.6600,Peer-3-Previous-Quarter-60,62.3800,Peer-4-Previous-Quarter-33,92.7300
,,,,,,Stock-Previous-Quarter-61,97.2800,Peer-1-Previous-Quarter-61,71.1100,Peer-2-Previous-Quarter-61,105.4300,Peer-3-Previous-Quarter-61,61.8300,Peer-4-Previous-Quarter-32,92.4100
,,,,,,Stock-Previous-Quarter-62,97.9500,Peer-1-Previous-Quarter-62,71.5000,Peer-2-Previous-Quarter-62,105.1900,Peer-3-Previous-Quarter-62,61.5900,Peer-4-Previous-Quarter-31,91.5800
,,,,,,Stock-Previous-Quarter-63,96.5300,Peer-1-Previous-Quarter-63,71.6300,Peer-2-Previous-Quarter-63,105.1800,Peer-3-Previous-Quarter-63,61.8700,Peer-4-Previous-Quarter-30,91.2600
,,,,,,Stock-Previous-Quarter-64,93.7800,Peer-1-Previous-Quarter-64,70.3800,Peer-2-Previous-Quarter-64,103.2600,Peer-3-Previous-Quarter-64,61.4600,Peer-4-Previous-Quarter-29,90.8500
,,,,,,Stock-Previous-Quarter-65,95.5200,Peer-1-Previous-Quarter-65,72.5100,Peer-2-Previous-Quarter-65,104.8100,Peer-3-Previous-Quarter-65,63.2100,Peer-4-Previous-Quarter-28,89.3500
,,,,,,Stock-Previous-Quarter-66,94.8700,Peer-1-Previous-Quarter-66,71.9000,Peer-2-Previous-Quarter-66,103.7000,Peer-3-Previous-Quarter-66,62.9700,Peer-4-Previous-Quarter-27,88.1500
,,,,,,Stock-Previous-Quarter-67,94.9500,Peer-1-Previous-Quarter-67,71.4100,Peer-2-Previous-Quarter-67,102.9900,Peer-3-Previous-Quarter-67,61.3200,Peer-4-Previous-Quarter-26,89.6100
,,,,,,Stock-Previous-Quarter-68,96.0100,Peer-1-Previous-Quarter-68,72.1900,Peer-2-Previous-Quarter-68,103.8400,Peer-3-Previous-Quarter-68,61.6400,Peer-4-Previous-Quarter-25,90.6900
,,,,,,Stock-Previous-Quarter-69,95.3600,Peer-1-Previous-Quarter-69,71.6500,Peer-2-Previous-Quarter-69,102.9000,Peer-3-Previous-Quarter-69,61.4600,Peer-4-Previous-Quarter-24,91.6300
,,,,,,Stock-Previous-Quarter-70,96.2900,Peer-1-Previous-Quarter-70,72.2700,Peer-2-Previous-Quarter-70,103.6700,Peer-3-Previous-Quarter-70,61.7800,Peer-4-Previous-Quarter-23,90.6600
,,,,,,Stock-Previous-Quarter-71,95.6900,Peer-1-Previous-Quarter-71,71.7400,Peer-2-Previous-Quarter-71,102.9900,Peer-3-Previous-Quarter-71,60.7900,Peer-4-Previous-Quarter-22,91.6900
,,,,,,Stock-Previous-Quarter-72,94.4700,Peer-1-Previous-Quarter-72,70.7600,Peer-2-Previous-Quarter-72,101.9500,Peer-3-Previous-Quarter-72,60.4900,Peer-4-Previous-Quarter-21,91.2900
,,,,,,Stock-Previous-Quarter-73,95.3400,Peer-1-Previous-Quarter-73,70.7300,Peer-2-Previous-Quarter-73,101.9200,Peer-3-Previous-Quarter-73,60.0500,Peer-4-Previous-Quarter-20,90.6200
,,,,,,Stock-Previous-Quarter-74,93.6700,Peer-1-Previous-Quarter-74,69.4700,Peer-2-Previous-Quarter-74,100.2100,Peer-3-Previous-Quarter-74,59.5800,Peer-4-Previous-Quarter-19,92.7900
,,,,,,Stock-Previous-Quarter-75,94.0000,Peer-1-Previous-Quarter-75,68.9100,Peer-2-Previous-Quarter-75,100.2300,Peer-3-Previous-Quarter-75,59.2500,Peer-4-Previous-Quarter-18,94.0100
,,,,,,Stock-Previous-Quarter-76,94.5700,Peer-1-Previous-Quarter-76,69.4300,Peer-2-Previous-Quarter-76,100.3400,Peer-3-Previous-Quarter-76,58.6200,Peer-4-Previous-Quarter-17,95.6400
,,,,,,Stock-Previous-Quarter-77,95.5700,Peer-1-Previous-Quarter-77,70.3700,Peer-2-Previous-Quarter-77,102.5100,Peer-3-Previous-Quarter-77,58.8400,Peer-4-Previous-Quarter-16,96.3000
,,,,,,Stock-Previous-Quarter-78,98.4900,Peer-1-Previous-Quarter-78,71.1100,Peer-2-Previous-Quarter-78,103.3000,Peer-3-Previous-Quarter-78,59.2700,Peer-4-Previous-Quarter-15,95.6300
,,,,,,Stock-Previous-Quarter-79,98.6200,Peer-1-Previous-Quarter-79,71.2100,Peer-2-Previous-Quarter-79,103.1000,Peer-3-Previous-Quarter-79,59.9800,Peer-4-Previous-Quarter-14,96.9100
,,,,,,Stock-Previous-Quarter-80,98.5500,Peer-1-Previous-Quarter-80,71.0300,Peer-2-Previous-Quarter-80,102.3200,Peer-3-Previous-Quarter-80,59.9800,Peer-4-Previous-Quarter-13,93.1900
,,,,,,Stock-Previous-Quarter-81,96.5800,Peer-1-Previous-Quarter-81,68.3600,Peer-2-Previous-Quarter-81,100.3500,Peer-3-Previous-Quarter-81,58.2800,Peer-4-Previous-Quarter-12,92.1000
,,,,,,Stock-Previous-Quarter-82,97.7200,Peer-1-Previous-Quarter-82,68.6800,Peer-2-Previous-Quarter-82,100.4500,Peer-3-Previous-Quarter-82,58.2900,Peer-4-Previous-Quarter-11,91.7300
,,,,,,Stock-Previous-Quarter-83,96.6700,Peer-1-Previous-Quarter-83,68.5000,Peer-2-Previous-Quarter-83,99.5800,Peer-3-Previous-Quarter-83,58.0000,Peer-4-Previous-Quarter-10,95.0700
,,,,,,Stock-Previous-Quarter-84,96.3700,Peer-1-Previous-Quarter-84,68.4800,Peer-2-Previous-Quarter-84,100.5100,Peer-3-Previous-Quarter-84,58.2500,Peer-4-Previous-Quarter-9,94.5700
,,,,,,Stock-Previous-Quarter-85,94.5200,Peer-1-Previous-Quarter-85,67.4800,Peer-2-Previous-Quarter-85,99.1300,Peer-3-Previous-Quarter-85,59.2700,Peer-4-Previous-Quarter-8,94.3900
,,,,,,Stock-Previous-Quarter-86,95.1200,Peer-1-Previous-Quarter-86,67.3400,Peer-2-Previous-Quarter-86,99.5200,Peer-3-Previous-Quarter-86,60.4700,Peer-4-Previous-Quarter-7,95.1100
,,,,,,Stock-Previous-Quarter-87,96.4800,Peer-1-Previous-Quarter-87,67.7200,Peer-2-Previous-Quarter-87,100.3100,Peer-3-Previous-Quarter-87,60.3700,Peer-4-Previous-Quarter-6,94.7200
,,,,,,Stock-Previous-Quarter-88,96.8000,Peer-1-Previous-Quarter-88,67.6400,Peer-2-Previous-Quarter-88,99.9300,Peer-3-Previous-Quarter-88,61.1100,Peer-4-Previous-Quarter-5,95.6700
,,,,,,Stock-Previous-Quarter-89,94.6500,Peer-1-Previous-Quarter-89,65.7300,Peer-2-Previous-Quarter-89,97.9400,Peer-3-Previous-Quarter-89,59.7700,Peer-4-Previous-Quarter-4,95.0900
,,,,,,Stock-Previous-Quarter-90,95.2200,Peer-1-Previous-Quarter-90,65.8400,Peer-2-Previous-Quarter-90,98.6100,Peer-3-Previous-Quarter-90,60.6200,Peer-4-Previous-Quarter-3,96.0200
,,,,,,Stock-Previous-Quarter-91,95.4700,Peer-1-Previous-Quarter-91,66.9100,Peer-2-Previous-Quarter-91,99.6200,Peer-3-Previous-Quarter-91,61.5300,Peer-4-Previous-Quarter-2,98.5100
,,,,,,Stock-Previous-Quarter-92,95.1300,Peer-1-Previous-Quarter-92,66.3600,Peer-2-Previous-Quarter-92,98.5400,Peer-3-Previous-Quarter-92,61.0300,Peer-4-Previous-Quarter-1,98.9700
