Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-41,0.742401733815428,,,End-of-Day-Close-Price-Week-Ago-41,657.8800,Stock-Previous-Quarter-41,809.4500,Peer-1-Previous-Quarter-41,2419.8100,Peer-2-Previous-Quarter-41,151.4700,Peer-3-Previous-Quarter-41,169.1800,Peer-4-Previous-Quarter-52,215.4800
Stock-Beta-Week-42,0.7557687963866124,,,End-of-Day-Close-Price-Week-Ago-42,636.0800,Stock-Previous-Quarter-42,794.8400,Peer-1-Previous-Quarter-42,2425.8800,Peer-2-Previous-Quarter-42,151.6700,Peer-3-Previous-Quarter-42,168.2900,Peer-4-Previous-Quarter-51,214.8600
Stock-Beta-Week-43,0.7492423373940681,,,End-of-Day-Close-Price-Week-Ago-43,639.0600,Stock-Previous-Quarter-43,805.6600,Peer-1-Previous-Quarter-43,2398.5100,Peer-2-Previous-Quarter-43,152.1700,Peer-3-Previous-Quarter-43,170.7500,Peer-4-Previous-Quarter-50,213.8200
Stock-Beta-Week-44,0.830595131884261,,,End-of-Day-Close-Price-Week-Ago-44,586.7200,Stock-Previous-Quarter-44,807.9300,Peer-1-Previous-Quarter-44,2443.5500,Peer-2-Previous-Quarter-44,155.2400,Peer-3-Previous-Quarter-44,168.5700,Peer-4-Previous-Quarter-49,226.7200
Stock-Beta-Week-45,0.9222222091478333,,,End-of-Day-Close-Price-Week-Ago-45,607.4400,Stock-Previous-Quarter-45,792.3500,Peer-1-Previous-Quarter-45,2495.6800,Peer-2-Previous-Quarter-45,156.8400,Peer-3-Previous-Quarter-45,167.8200,Peer-4-Previous-Quarter-48,225.6700
Stock-Beta-Week-46,0.9143630254842413,,,End-of-Day-Close-Price-Week-Ago-46,631.6100,Stock-Previous-Quarter-46,789.6300,Peer-1-Previous-Quarter-46,2438.8500,Peer-2-Previous-Quarter-46,152.2800,Peer-3-Previous-Quarter-46,166.6100,Peer-4-Previous-Quarter-47,222.7900
Stock-Beta-Week-47,0.9079320021001447,,,End-of-Day-Close-Price-Week-Ago-47,647.3400,Stock-Previous-Quarter-47,771.1700,Peer-1-Previous-Quarter-47,2428.5800,Peer-2-Previous-Quarter-47,149.8800,Peer-3-Previous-Quarter-47,165.9400,Peer-4-Previous-Quarter-46,227.9900
Stock-Beta-Week-48,0.862090738611086,,,End-of-Day-Close-Price-Week-Ago-48,572.5700,Stock-Previous-Quarter-48,800.6300,Peer-1-Previous-Quarter-48,2369.3400,Peer-2-Previous-Quarter-48,147.4400,Peer-3-Previous-Quarter-48,167.9900,Peer-4-Previous-Quarter-45,230.0300
Stock-Beta-Week-49,0.8310691817855121,,,End-of-Day-Close-Price-Week-Ago-49,635.6200,Stock-Previous-Quarter-49,800.4700,Peer-1-Previous-Quarter-49,2415.2700,Peer-2-Previous-Quarter-49,147.6200,Peer-3-Previous-Quarter-49,166.4700,Peer-4-Previous-Quarter-44,230.9000
Stock-Beta-Week-50,0.8901768717340185,,,End-of-Day-Close-Price-Week-Ago-50,608.4000,Stock-Previous-Quarter-50,799.0900,Peer-1-Previous-Quarter-50,2357.8100,Peer-2-Previous-Quarter-50,149.1100,Peer-3-Previous-Quarter-50,165.4400,Peer-4-Previous-Quarter-43,228.5600
