Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-26,2.883944577144969,,,End-of-Day-Close-Price-Week-Ago-26,37.0100,Stock-Previous-Quarter-26,45.3600,Peer-1-Previous-Quarter-26,78.2900,Peer-2-Previous-Quarter-26,226.9800,Peer-3-Previous-Quarter-26,123.6800,Peer-4-Previous-Quarter-67,50.6500
Stock-Beta-Week-27,3.1895425085534437,,,End-of-Day-Close-Price-Week-Ago-27,42.3500,Stock-Previous-Quarter-27,45.1500,Peer-1-Previous-Quarter-27,78.5800,Peer-2-Previous-Quarter-27,232.1600,Peer-3-Previous-Quarter-27,123.5300,Peer-4-Previous-Quarter-66,49.9800
Stock-Beta-Week-28,3.041976839253096,,,End-of-Day-Close-Price-Week-Ago-28,42.9100,Stock-Previous-Quarter-28,44.3100,Peer-1-Previous-Quarter-28,78.7700,Peer-2-Previous-Quarter-28,235.0100,Peer-3-Previous-Quarter-28,123.4200,Peer-4-Previous-Quarter-65,50.3700
Stock-Beta-Week-29,3.049916251075,,,End-of-Day-Close-Price-Week-Ago-29,43.2900,Stock-Previous-Quarter-29,43.8500,Peer-1-Previous-Quarter-29,78.0900,Peer-2-Previous-Quarter-29,232.8600,Peer-3-Previous-Quarter-29,124.3400,Peer-4-Previous-Quarter-64,54.2000
Stock-Beta-Week-30,2.7724062618520042,,,End-of-Day-Close-Price-Week-Ago-30,46.3500,Stock-Previous-Quarter-30,45.2500,Peer-1-Previous-Quarter-30,79.7500,Peer-2-Previous-Quarter-30,236.6400,Peer-3-Previous-Quarter-30,126.2000,Peer-4-Previous-Quarter-63,54.7100
Stock-Beta-Week-31,2.625244534440149,,,End-of-Day-Close-Price-Week-Ago-31,49.7400,Stock-Previous-Quarter-31,42.9700,Peer-1-Previous-Quarter-31,76.6100,Peer-2-Previous-Quarter-31,207.5400,Peer-3-Previous-Quarter-31,123.9500,Peer-4-Previous-Quarter-62,56.7700
Stock-Beta-Week-32,2.6665161653241585,,,End-of-Day-Close-Price-Week-Ago-32,45.7600,Stock-Previous-Quarter-32,42.6000,Peer-1-Previous-Quarter-32,76.7700,Peer-2-Previous-Quarter-32,206.5500,Peer-3-Previous-Quarter-32,123.7000,Peer-4-Previous-Quarter-61,56.3600
Stock-Beta-Week-33,2.7241468831718874,,,End-of-Day-Close-Price-Week-Ago-33,50.1700,Stock-Previous-Quarter-33,44.1400,Peer-1-Previous-Quarter-33,78.5000,Peer-2-Previous-Quarter-33,213.8800,Peer-3-Previous-Quarter-33,127.7200,Peer-4-Previous-Quarter-60,57.2100
Stock-Beta-Week-34,2.7464369729956286,,,End-of-Day-Close-Price-Week-Ago-34,53.1400,Stock-Previous-Quarter-34,45.6900,Peer-1-Previous-Quarter-34,80.0800,Peer-2-Previous-Quarter-34,220.0200,Peer-3-Previous-Quarter-34,130.1600,Peer-4-Previous-Quarter-59,58.0600
Stock-Beta-Week-35,2.787161173011213,,,End-of-Day-Close-Price-Week-Ago-35,55.3600,Stock-Previous-Quarter-35,46.7400,Peer-1-Previous-Quarter-35,85.1800,Peer-2-Previous-Quarter-35,227.6400,Peer-3-Previous-Quarter-35,133.0700,Peer-4-Previous-Quarter-58,57.2700
Stock-Beta-Week-36,2.8453773707229213,,,End-of-Day-Close-Price-Week-Ago-36,56.9400,Stock-Previous-Quarter-36,47.2100,Peer-1-Previous-Quarter-36,85.9500,Peer-2-Previous-Quarter-36,229.7100,Peer-3-Previous-Quarter-36,132.3400,Peer-4-Previous-Quarter-57,56.9300
Stock-Beta-Week-37,2.7881788190359305,,,End-of-Day-Close-Price-Week-Ago-37,55.6800,Stock-Previous-Quarter-37,45.6000,Peer-1-Previous-Quarter-37,83.1300,Peer-2-Previous-Quarter-37,217.8800,Peer-3-Previous-Quarter-37,130.8400,Peer-4-Previous-Quarter-56,56.8500
Stock-Beta-Week-38,2.78657519744537,,,End-of-Day-Close-Price-Week-Ago-38,52.0200,Stock-Previous-Quarter-38,44.5500,Peer-1-Previous-Quarter-38,81.4800,Peer-2-Previous-Quarter-38,212.6500,Peer-3-Previous-Quarter-38,128.9900,Peer-4-Previous-Quarter-55,56.5100
Stock-Beta-Week-39,2.7920850741165437,,,End-of-Day-Close-Price-Week-Ago-39,48.2200,Stock-Previous-Quarter-39,45.1100,Peer-1-Previous-Quarter-39,83.2100,Peer-2-Previous-Quarter-39,223.3700,Peer-3-Previous-Quarter-39,130.5300,Peer-4-Previous-Quarter-54,56.3600
Stock-Beta-Week-40,2.8411305198185266,,,End-of-Day-Close-Price-Week-Ago-40,46.9900,Stock-Previous-Quarter-40,45.1000,Peer-1-Previous-Quarter-40,84.6900,Peer-2-Previous-Quarter-40,222.0500,Peer-3-Previous-Quarter-40,132.1700,Peer-4-Previous-Quarter-53,58.4600
Stock-Beta-Week-41,3.1610838598151707,,,End-of-Day-Close-Price-Week-Ago-41,42.5500,Stock-Previous-Quarter-41,46.7800,Peer-1-Previous-Quarter-41,85.9100,Peer-2-Previous-Quarter-41,221.7300,Peer-3-Previous-Quarter-41,136.6300,Peer-4-Previous-Quarter-52,61.8200
Stock-Beta-Week-42,3.1674583442147592,,,End-of-Day-Close-Price-Week-Ago-42,48.2200,Stock-Previous-Quarter-42,45.0300,Peer-1-Previous-Quarter-42,83.6800,Peer-2-Previous-Quarter-42,210.8900,Peer-3-Previous-Quarter-42,132.9300,Peer-4-Previous-Quarter-51,61.2600
Stock-Beta-Week-43,3.0555492852627903,,,End-of-Day-Close-Price-Week-Ago-43,46.0400,Stock-Previous-Quarter-43,46.5800,Peer-1-Previous-Quarter-43,86.0900,Peer-2-Previous-Quarter-43,211.0000,Peer-3-Previous-Quarter-43,135.0200,Peer-4-Previous-Quarter-50,61.5400
Stock-Beta-Week-44,3.0609895450954445,,,End-of-Day-Close-Price-Week-Ago-44,53.0700,Stock-Previous-Quarter-44,48.7600,Peer-1-Previous-Quarter-44,88.3100,Peer-2-Previous-Quarter-44,217.0900,Peer-3-Previous-Quarter-44,135.8500,Peer-4-Previous-Quarter-49,62.8000
Stock-Beta-Week-45,2.9855005520661093,,,End-of-Day-Close-Price-Week-Ago-45,58.9600,Stock-Previous-Quarter-45,46.1200,Peer-1-Previous-Quarter-45,84.6400,Peer-2-Previous-Quarter-45,209.4300,Peer-3-Previous-Quarter-45,138.4600,Peer-4-Previous-Quarter-48,63.8700
Stock-Beta-Week-46,2.9263054772646906,,,End-of-Day-Close-Price-Week-Ago-46,60.8200,Stock-Previous-Quarter-46,43.1500,Peer-1-Previous-Quarter-46,75.1500,Peer-2-Previous-Quarter-46,195.3700,Peer-3-Previous-Quarter-46,133.2100,Peer-4-Previous-Quarter-47,61.7100
Stock-Beta-Week-47,2.8834340887728,,,End-of-Day-Close-Price-Week-Ago-47,54.0700,Stock-Previous-Quarter-47,41.9900,Peer-1-Previous-Quarter-47,72.4500,Peer-2-Previous-Quarter-47,191.6200,Peer-3-Previous-Quarter-47,131.6300,Peer-4-Previous-Quarter-46,60.3000
Stock-Beta-Week-48,3.169837567766128,,,End-of-Day-Close-Price-Week-Ago-48,57.5700,Stock-Previous-Quarter-48,44.2500,Peer-1-Previous-Quarter-48,75.4000,Peer-2-Previous-Quarter-48,203.6500,Peer-3-Previous-Quarter-48,133.4000,Peer-4-Previous-Quarter-45,62.6000
